code,name
A037020,한와이어리스
A041630,인젠
A035510,신세계아이앤씨 보통주
A234300,에스트래픽
A075130,플랜티넷
A040180,대양글로벌
A037550,클라스타
A089150,케이씨티
A250060,모비스
A038680,에스넷시스템
A052350,코아에스앤아이
A074140,엑스로드
A067730,로지시스
A124500,아이티센
A007120,미래아이앤지보통주
A031820,콤텍시스템보통주
A053980,오상자이엘
A040350,큐로컴
A010280,쌍용정보통신
A052460,아이크래프트
A115500,케이씨에스
A263800,데이타솔루션
A032640,LG유플러스보통주
A039420,케이엘넷
A065530,한국전파기지국
A006490,인스코비보통주
A030200,케이티보통주
A036630,세종텔레콤
A115310,인포바인
A052600,한네트
A036800,나이스정보통신
A031310,아이즈비전
A017670,SK텔레콤보통주
A025770,한국정보통신
A028150,지에스홈쇼핑
A035760,씨제이오쇼핑
A035210,티브로드도봉강북방송
A033830,티비씨
A043890,티브로드 한빛방송
A037560,씨제이헬로보통주
A066790,씨씨에스충북방송
A122450,케이엠에이치
A034120,에스비에스보통주
A039340,한국경제티브이
A130960,씨제이이앤엠
A053210,케이티스카이라이프
A126560,현대에이치씨엔보통주
A058400,케이엔엔
A049000,예당컴퍼니
A035900,제이와이피엔터테인먼트
A173940,에프엔씨엔터테인먼트
A041510,에스엠엔터테인먼트
A182360,큐브엔터테인먼트
A122870,와이지엔터테인먼트
A043680,스톰이앤에프
A066410,투윈글로벌
A160550,넥스트엔터테인먼트월드
A052970,올리브나인
A003560,IHQ보통주
A206560,덱스터스튜디오
A054780,키이스트
A060300,레드로버
A099830,씨그널엔터테인먼트그룹
A078860,아이오케이컴퍼니
A068050,팬엔터테인먼트
A058420,제이웨이
A047820,초록뱀미디어
A086980,쇼박스
A046140,에스비에스콘텐츠허브
A079160,씨제이씨지브이 보통주
A067850,바이나믹
A017170,훈영보통주
A002420,세기상사보통주
A046390,삼화네트웍스
A048550,에스엠컬처앤콘텐츠
A036260,이매진아시아
A253450,스튜디오드래곤 주식회사
A040300,와이티엔
A049470,에스지에이
A047560,이스트소프트
A069080,웹젠
A070300,한솔시큐어
A067160,아프리카티비
A052810,아시아미디어홀딩스
A195440,퓨전데이타
A073130,인스프리트
A131090,시큐브
A035600,케이지이니시스
A056000,신스타임즈
A030520,한글과컴퓨터
A194480,데브시스터즈
A052790,액토즈소프트
A090850,이지웰페어
A263860,지니언스
A087260,모바일어플라이언스
A064480,브리지텍
A079940,가비아
A089850,유비벨록스
A263700,케어랩스
A123420,선데이토즈
A094860,코닉글로리
A205100,엑셈
A042510,라온시큐어
A067920,이글루시큐리티
A052770,와이디온라인
A215000,골프존
A208350,지란지교시큐리티
A251270,넷마블보통주
A223310,이에스브이
A217270,넵튠
A139670,넥스트리밍
A032620,유비케어
A192250,케이사인
A138580,비즈니스온커뮤니케이션
A050960,수산아이앤티
A220180,핸디소프트
A181710,엔에이치엔엔터테인먼트보통주
A095660,네오위즈
A041140,넥슨지티
A203650,드림시큐리티
A104200,엔에이치엔벅스
A053300,한국정보인증
A079970,투비소프트
A047080,한빛소프트
A213090,미래테크놀로지
A208640,썸에이지
A067000,조이시티
A225570,넷게임즈
A108860,셀바스에이아이
A078700,신지소프트
A077280,한컴지엠디
A041020,인프라웨어
A030350,드래곤플라이
A119860,다나와
A078340,컴투스
A051160,지어소프트
A094480,갤럭시아커뮤니케이션즈
A035620,바른손이앤에이
A071200,인피니트헬스케어
A038320,어울림정보기술
A206400,엔터메이트
A184230,에스지에이 솔루션즈
A053800,안랩
A189690,포시에스
A064260,다날
A219420,링크제니시스
A058900,투미비티
A054920,한컴시큐어
A222810,바이오닉스진
A052400,코나아이
A057100,하이스마텍
A065440,이루온
A153460,네이블커뮤니케이션즈
A150900,파수닷컴
A058630,엠게임
A230980,솔트웍스
A040160,누리텔레콤
A192080,더블유게임즈
A086960,한컴MDS
A057680,옴니텔
A045340,토탈소프트뱅크
A214270,퓨쳐스트림네트웍스
A131370,알서포트
A046440,케이지모빌리언스
A060240,룽투코리아
A023770,플레이위드
A085810,알티캐스트
A094360,칩스앤미디어
A036570,엔씨소프트보통주
A101730,조이맥스
A053350,이니텍
A046240,에스브이에이치
A069410,엔텔스
A201490,미투온
A041460,한국전자인증
A032850,비트컴퓨터
A112040,위메이드엔터테인먼트
A073930,제너시스템즈
A263750,펄어비스
A100030,모바일리더
A205500,액션스퀘어
A033280,어울림엘시스
A053290,엔이능률
A263720,디앤씨미디어
A036000,예림당
A035290,더블유에프엠
A039670,(주)스포츠서울
A134060,이퓨쳐
A100220,비상교육 보통주
A072870,메가스터디
A068290,삼성출판사보통주
A217620,디딤
A031440,신세계푸드보통주
A018700,바른손
A016140,웨스테이트 디벨롭먼트
A070960,주식회사 용평리조트
A003100,선광
A052300,더블유홀딩컴퍼니
A009180,한솔로지스틱스보통주
A005430,한국공항보통주
A086280,현대글로비스보통주
A272450,진에어보통주
A003490,대한항공보통주
A089590,제주항공보통주
A020560,아시아나항공 보통주
A028670,팬오션보통주
A044450,케이에스에스 해운 보통주
A117930,한진해운보통주
A005880,대한해운보통주
A011200,현대상선보통주
A003280,흥아해운보통주
A005350,심팩인더스트리
A004360,세방보통주
A009070,KCTC 보통주
A129260,인터지스보통주
A004140,동방보통주
A002320,한진보통주
A032280,삼일
A000120,씨제이대한통운보통주
A014130,한익스프레스보통주
A001140,국보보통주
A084670,동양고속보통주
A024800,유성티엔에스
A000650,천일고속보통주
A057050,현대홈쇼핑보통주
A069920,아이에스이커머스
A138250,엔에스쇼핑보통주
A108790,인터파크
A035710,씨엘엘씨디
A141020,포티스
A053280,예스이십사
A008770,호텔신라보통주
A026220,에스티씨라이프
A060280,큐렉소
A038620,위즈코프
A128820,대성산업보통주
A032420,터보테크
A040740,아인스엠앤엠
A031430,신세계인터내셔날보통주
A039980,리노스
A215480,토박스코리아
A080420,모다이노칩
A069640,한세엠케이보통주
A071840,롯데하이마트보통주
A019010,그랜드백화점
A005440,현대그린푸드보통주
A023530,롯데쇼핑 보통주
A007070,지에스리테일보통주
A027410,BGF보통주
A006370,대구백화점보통주
A037710,광주신세계보통주
A027390,한화갤러리아타임월드보통주
A139480,이마트보통주
A282330,BGF리테일보통주
A004170,신세계보통주
A067830,세이브존I&C보통주
A069960,현대백화점보통주
A043220,에이치엘비파워
A122900,아이마켓코리아보통주
A006730,서부티엔디
A042870,에코페트로시스템
A051390,와이더블유
A004060,에스지세계물산보통주
A042340,대국
A000680,LS네트웍스보통주
A007720,대명코퍼레이션
A019660,글로본
A001250,지에스글로벌보통주
A111770,영원무역보통주
A011760,현대종합상사보통주
A031860,엔에스엔
A064090,에프앤리퍼블릭
A044960,이-글벳
A037370,이지
A012700,리드코프
A016670,포비스티앤씨
A028260,삼성물산보통주
A023430,아이이
A008540,케이비물산보통주
A004820,조인에너지보통주
A065560,녹원씨엔아이
A066430,와이오엠
A009810,엔케이물산보통주
A058370,비엔씨컴퍼니
A000440,중앙에너비스
A014190,원익큐브
A004270,남성보통주
A088790,진도 보통주
A039740,한국정보공학
A074430,아미노로직스
A048130,에스피코프
A000760,이화산업보통주
A012170,키위미디어그룹보통주
A038070,서린바이오사이언스
A001740,SK네트웍스보통주
A091990,셀트리온헬스케어
A106190,하이텍팜
A036620,버추얼텍
A002810,삼영무역보통주
A045260,디에이치패션
A017940,E1보통주
A005390,신성통상보통주
A056730,포스링크
A013000,세우글로벌보통주
A010420,한솔PNS보통주
A018670,SK가스보통주
A093230,이아이디보통주
A043090,팜스웰바이오
A048910,대원미디어
A024060,흥구석유
A007110,일신석재보통주
A032190,다우데이타
A118000,우리들휴브레인보통주
