time,closing
2012-05-10,494.27
2012-05-11,493.66
2012-05-14,488.53
2012-05-15,480.5
2012-05-16,465.01
2012-05-17,468.13
2012-05-18,448.68
2012-05-21,448.89
2012-05-22,461.45
2012-05-23,455.9
2012-05-24,455.72
2012-05-25,462.4
2012-05-29,470.02
2012-05-30,469.62
2012-05-31,471.94
2012-06-01,472.13
2012-06-04,450.84
2012-06-05,456.68
2012-06-07,466.18
2012-06-08,461.99
2012-06-11,469.59
2012-06-12,471.97
2012-06-13,470.96
2012-06-14,472.03
2012-06-15,467.75
2012-06-18,475.26
2012-06-19,478.36
2012-06-20,484.55
2012-06-21,485.18
2012-06-22,485.19
2012-06-25,484.44
2012-06-26,484.34
2012-06-27,483.03
2012-06-28,485.91
2012-06-29,489.16
2012-07-02,490.43
2012-07-03,493.91
2012-07-04,495.81
2012-07-05,497.34
2012-07-06,497.21
2012-07-09,495.23
2012-07-10,492.34
2012-07-11,491.93
2012-07-12,486.38
2012-07-13,484.32
2012-07-16,483.5
2012-07-17,480.61
2012-07-18,472.88
2012-07-19,478.68
2012-07-20,481.83
2012-07-23,472.24
2012-07-24,468.28
2012-07-25,454.72
2012-07-26,457.86
2012-07-27,464.72
2012-07-30,465.46
2012-07-31,467.61
2012-08-01,468.53
2012-08-02,466.63
2012-08-03,465.28
2012-08-06,469.61
2012-08-07,471.6
2012-08-08,471.42
2012-08-09,474.05
2012-08-10,475.51
2012-08-13,478.4
2012-08-14,480.74
2012-08-16,485.32
2012-08-17,487.26
2012-08-20,490.13
2012-08-21,491.72
2012-08-22,492.89
2012-08-23,499.34
2012-08-24,497.51
2012-08-27,493.83
2012-08-28,499.53
2012-08-29,505.32
2012-08-30,505.64
2012-08-31,508.35
2012-09-03,512.45
2012-09-04,507.41
2012-09-05,505.39
2012-09-06,506.72
2012-09-07,510.87
2012-09-10,512.11
2012-09-11,514.42
2012-09-12,517.52
2012-09-13,520.48
2012-09-14,519.14
2012-09-17,519
2012-09-18,523.52
2012-09-19,528.06
2012-09-20,528.06
2012-09-21,531.49
2012-09-24,532.28
2012-09-25,522.96
2012-09-26,520.71
2012-09-27,518.29
2012-09-28,523.78
2012-10-02,527.56
2012-10-04,531.44
2012-10-05,535.82
2012-10-08,537.79
2012-10-09,540.43
2012-10-10,533.86
2012-10-11,534.95
2012-10-12,539.86
2012-10-15,529.33
2012-10-16,530.23
2012-10-17,528.22
2012-10-18,514.16
2012-10-19,518.81
2012-10-22,523
2012-10-23,524.15
2012-10-24,524.35
2012-10-25,518.25
2012-10-26,505.5
2012-10-29,494.88
2012-10-30,502.31
2012-10-31,508.31
2012-11-01,508.83
2012-11-02,513.37
2012-11-05,515.14
